grid_id_main,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_m2,heating_kwh_per_m2,other_electricity_kwh_per_m2
3297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3300,0.0,0.2230760837904682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4102538401319179,0.0,0,0.5464943197660957,0.5210491551383872,0.8847986843944584
3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828260206189197,0.0,0,0.0,0.0,0.0
3302,0.2335876936778213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677966842649943,0.575677108211911,0.0,0,1.3444056788163896,1.0536367001138178,0.7011444124459731
3303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6224582902272493,0.0,0.0,0,0.0,0.0,0.0
3304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827449030309572,0.0,0,0.0,0.0,0.0
3305,0.0,0.2343617462358909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1601926773859526,0.0,0,0.991088227911358,0.7648912565899638,0.6776679293220013
3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8247415509149661,0.0,0,0.0,0.0,0.0
3307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290699326423599,0.0,0,0.0,0.0,0.0
3308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765400357550894,0.0,0,0.0,0.0,0.0
3309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488617060278739,0.0,0,0.0,0.0,0.0
3310,1.142768521316714,0.0,0.0,0.0,0.0,0.0,0.0,0.5447787467366897,0.0,0.4842377749277488,0.0,0,9.602923261716317,14.677123038219776,4.353693640225214
3311,1.2137615515073004,0.0378318888089044,0.0,0.0,0.0,0.0,0.0,0.2212001202390943,0.0,1.9171930860674784,0.0,0,2.3315290464702945,3.247689137853862,1.0126386203185695
3312,6.836881718706064,0.0502329396072647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905897229144522,0.0,4,15.712516659412753,18.82635394958625,5.915648582837871
3313,7.334058853977294,0.0,0.5326047426644984,0.0,0.0,0.0,0.0,0.0,0.0210764983524084,0.8788232894524012,0.0,0,15.7318378682764,19.400800614684147,7.202176077553215
3314,8.241470832348625,0.0895185985158816,0.0,0.0,0.0,0.0,0.0,0.0,0.3865622014428185,0.9409419973685904,0.0,0,17.647887708715896,21.73206774782666,7.95774440164723
3315,5.904265385220735,0.0233825132509813,0.0,0.0,0.0,0.0,0.0,0.0,0.4530866460417859,1.5058827444510114,0.0,10,12.95311975805577,15.99788378387778,5.12220195859932
3316,8.46538414539476,1.2142450675591945,0.0,0.0,0.0,0.0,0.0,0.0,0.5028077069741294,0.805665947587925,0.0,3,18.621607290765823,24.923019813926228,5.569260637168158
